표준 증상명,유사어 예시
배뇨통,"배뇨통이 반복돼요, 배뇨통이 심해졌어요, 배뇨통 때문에 일상생활이 힘들어요, 배뇨통이 생겼어요, 배뇨통 증상이 계속돼요, 배뇨통으로 병원에 가야 할 것 같아요, 배뇨통 때문에 걱정이에요, 배뇨통이 있어요"
잦은 소변,"잦은 소변으로 병원에 가야 할 것 같아요, 잦은 소변이 심해졌어요, 잦은 소변 때문에 걱정이에요, 잦은 소변이 있어요, 잦은 소변이 생겼어요, 잦은 소변 때문에 일상생활이 힘들어요, 잦은 소변이 반복돼요, 잦은 소변 증상이 계속돼요"
발열,"발열이 있어요, 발열이 심해졌어요, 체온, 발열 때문에 일상생활이 힘들어요, 열, 발열이 생겼어요, 발열으로 병원에 가야 할 것 같아요, 발열 때문에 걱정이에요, 발열이 반복돼요, 발열, 발열 증상이 계속돼요"
배뇨 곤란,"배뇨 곤란 때문에 걱정이에요, 배뇨 곤란이 반복돼요, 배뇨 곤란으로 병원에 가야 할 것 같아요, 배뇨 곤란이 심해졌어요, 배뇨 곤란이 생겼어요, 배뇨 곤란 증상이 계속돼요, 배뇨 곤란 때문에 일상생활이 힘들어요, 배뇨 곤란이 있어요"
혈뇨,"혈뇨이 심해졌어요, 혈뇨이 생겼어요, 혈뇨 증상이 계속돼요, 혈뇨이 있어요, 혈뇨 때문에 걱정이에요, 혈뇨으로 병원에 가야 할 것 같아요, 혈뇨이 반복돼요, 혈뇨 때문에 일상생활이 힘들어요"
배뇨통,"배뇨통이 반복돼요, 배뇨통이 심해졌어요, 배뇨통 때문에 일상생활이 힘들어요, 배뇨통이 생겼어요, 배뇨통 증상이 계속돼요, 배뇨통으로 병원에 가야 할 것 같아요, 배뇨통 때문에 걱정이에요, 배뇨통이 있어요"
잦은 소변,"잦은 소변으로 병원에 가야 할 것 같아요, 잦은 소변이 심해졌어요, 잦은 소변 때문에 걱정이에요, 잦은 소변이 있어요, 잦은 소변이 생겼어요, 잦은 소변 때문에 일상생활이 힘들어요, 잦은 소변이 반복돼요, 잦은 소변 증상이 계속돼요"
잔뇨감,"잔뇨감이 반복돼요, 잔뇨감 때문에 걱정이에요, 잔뇨감이 있어요, 잔뇨감이 심해졌어요, 잔뇨감 증상이 계속돼요, 잔뇨감이 생겼어요, 잔뇨감으로 병원에 가야 할 것 같아요, 잔뇨감 때문에 일상생활이 힘들어요"
손가락 관절통,"손가락 관절통 증상이 계속돼요, 손가락 관절통이 심해졌어요, 손가락 관절통이 생겼어요, 손가락 관절통이 반복돼요, 손가락 관절통이 있어요, 손가락 관절통 때문에 걱정이에요, 손가락 관절통 때문에 일상생활이 힘들어요, 손가락 관절통으로 병원에 가야 할 것 같아요"
뻣뻣함,"뻣뻣함이 반복돼요, 뻣뻣함이 생겼어요, 뻣뻣함 때문에 일상생활이 힘들어요, 뻣뻣함이 심해졌어요, 뻣뻣함으로 병원에 가야 할 것 같아요, 뻣뻣함이 있어요, 뻣뻣함 증상이 계속돼요, 뻣뻣함 때문에 걱정이에요"
발가락 관절통,"발가락 관절통이 있어요, 발가락 관절통이 생겼어요, 발가락 관절통으로 병원에 가야 할 것 같아요, 발가락 관절통 때문에 걱정이에요, 발가락 관절통 때문에 일상생활이 힘들어요, 발가락 관절통이 반복돼요, 발가락 관절통이 심해졌어요, 발가락 관절통 증상이 계속돼요"
열감,"열감이 심해졌어요, 열감이 있어요, 열감이 생겼어요, 열감이 반복돼요, 열감 때문에 걱정이에요, 열감 증상이 계속돼요, 열감 때문에 일상생활이 힘들어요, 열감으로 병원에 가야 할 것 같아요"
피로,"피로이 있어요, 피로 증상이 계속돼요, 피로이 심해졌어요, 피로이 생겼어요, 피로 때문에 걱정이에요, 피로으로 병원에 가야 할 것 같아요, 피로 때문에 일상생활이 힘들어요, 피로이 반복돼요"
발열,"발열이 있어요, 발열이 심해졌어요, 체온, 발열 때문에 일상생활이 힘들어요, 열, 발열이 생겼어요, 발열으로 병원에 가야 할 것 같아요, 발열 때문에 걱정이에요, 발열이 반복돼요, 발열, 발열 증상이 계속돼요"
피부 발진,"피부 발진 때문에 걱정이에요, 피부 발진 때문에 일상생활이 힘들어요, 피부 발진이 반복돼요, 피부 발진이 생겼어요, 피부 발진이 심해졌어요, 피부 발진이 있어요, 피부 발진으로 병원에 가야 할 것 같아요, 피부 발진 증상이 계속돼요"
기분 저하,"기분 저하 때문에 걱정이에요, 기분 저하이 생겼어요, 기분 저하 때문에 일상생활이 힘들어요, 기분 저하이 있어요, 기분 저하 증상이 계속돼요, 기분 저하으로 병원에 가야 할 것 같아요, 기분 저하이 심해졌어요, 기분 저하이 반복돼요"
무기력,"무기력 때문에 걱정이에요, 무기력이 있어요, 무기력이 심해졌어요, 무기력이 생겼어요, 무기력으로 병원에 가야 할 것 같아요, 무기력 증상이 계속돼요, 무기력이 반복돼요, 무기력 때문에 일상생활이 힘들어요"
불면,"불면 증상이 계속돼요, 불면으로 병원에 가야 할 것 같아요, 불면이 심해졌어요, 불면이 있어요, 불면 때문에 걱정이에요, 불면이 반복돼요, 불면이 생겼어요, 불면 때문에 일상생활이 힘들어요"
초조함,"초조함으로 병원에 가야 할 것 같아요, 초조함이 반복돼요, 초조함 때문에 걱정이에요, 초조함 때문에 일상생활이 힘들어요, 초조함이 생겼어요, 초조함이 심해졌어요, 초조함 증상이 계속돼요, 초조함이 있어요"
두근거림,"두근거림이 생겼어요, 두근거림이 있어요, 두근거림으로 병원에 가야 할 것 같아요, 두근거림 때문에 일상생활이 힘들어요, 두근거림 증상이 계속돼요, 두근거림 때문에 걱정이에요, 두근거림이 반복돼요, 두근거림이 심해졌어요"
긴장감,"긴장감으로 병원에 가야 할 것 같아요, 긴장감 증상이 계속돼요, 긴장감이 반복돼요, 긴장감이 심해졌어요, 긴장감 때문에 일상생활이 힘들어요, 긴장감 때문에 걱정이에요, 긴장감이 생겼어요, 긴장감이 있어요"
항문 통증,"항문 통증으로 병원에 가야 할 것 같아요, 항문 통증 때문에 걱정이에요, 항문 통증이 생겼어요, 항문 통증이 심해졌어요, 항문 통증 때문에 일상생활이 힘들어요, 항문 통증이 반복돼요, 항문 통증 증상이 계속돼요, 항문 통증이 있어요"
출혈,"출혈이 생겼어요, 출혈 증상이 계속돼요, 출혈이 심해졌어요, 출혈 때문에 걱정이에요, 출혈이 있어요, 출혈으로 병원에 가야 할 것 같아요, 출혈 때문에 일상생활이 힘들어요, 출혈이 반복돼요"
종물,"종물이 반복돼요, 종물 때문에 일상생활이 힘들어요, 종물이 생겼어요, 종물이 있어요, 종물이 심해졌어요, 종물 때문에 걱정이에요, 종물으로 병원에 가야 할 것 같아요, 종물 증상이 계속돼요"
항문 통증,"항문 통증으로 병원에 가야 할 것 같아요, 항문 통증 때문에 걱정이에요, 항문 통증이 생겼어요, 항문 통증이 심해졌어요, 항문 통증 때문에 일상생활이 힘들어요, 항문 통증이 반복돼요, 항문 통증 증상이 계속돼요, 항문 통증이 있어요"
고름,"고름으로 병원에 가야 할 것 같아요, 고름이 있어요, 고름 증상이 계속돼요, 고름이 반복돼요, 고름이 심해졌어요, 고름이 생겼어요, 고름 때문에 걱정이에요, 고름 때문에 일상생활이 힘들어요"
발열,"발열이 있어요, 발열이 심해졌어요, 체온, 발열 때문에 일상생활이 힘들어요, 열, 발열이 생겼어요, 발열으로 병원에 가야 할 것 같아요, 발열 때문에 걱정이에요, 발열이 반복돼요, 발열, 발열 증상이 계속돼요"
배변 시 통증,"배변 시 통증이 심해졌어요, 배변 시 통증 때문에 걱정이에요, 배변 시 통증으로 병원에 가야 할 것 같아요, 배변 시 통증 때문에 일상생활이 힘들어요, 배변 시 통증이 생겼어요, 배변 시 통증이 있어요, 배변 시 통증 증상이 계속돼요, 배변 시 통증이 반복돼요"
출혈,"출혈이 생겼어요, 출혈 증상이 계속돼요, 출혈이 심해졌어요, 출혈 때문에 걱정이에요, 출혈이 있어요, 출혈으로 병원에 가야 할 것 같아요, 출혈 때문에 일상생활이 힘들어요, 출혈이 반복돼요"
피로감,"피로감이 반복돼요, 피로감 증상이 계속돼요, 피로감으로 병원에 가야 할 것 같아요, 피로감이 심해졌어요, 피로감이 있어요, 피로감 때문에 일상생활이 힘들어요, 피로감이 생겼어요, 피로감 때문에 걱정이에요"
체중 증가,"체중 증가 증상이 계속돼요, 체중 증가으로 병원에 가야 할 것 같아요, 체중 증가 때문에 걱정이에요, 체중 증가이 반복돼요, 체중 증가이 있어요, 체중 증가이 생겼어요, 체중 증가이 심해졌어요, 체중 증가 때문에 일상생활이 힘들어요"
추위 민감,"추위 민감이 심해졌어요, 추위 민감 때문에 일상생활이 힘들어요, 추위 민감 증상이 계속돼요, 추위 민감으로 병원에 가야 할 것 같아요, 추위 민감 때문에 걱정이에요, 추위 민감이 있어요, 추위 민감이 반복돼요, 추위 민감이 생겼어요"
불면,"불면 증상이 계속돼요, 불면으로 병원에 가야 할 것 같아요, 불면이 심해졌어요, 불면이 있어요, 불면 때문에 걱정이에요, 불면이 반복돼요, 불면이 생겼어요, 불면 때문에 일상생활이 힘들어요"
체중 감소,"체중 감소 증상이 계속돼요, 체중 감소 때문에 일상생활이 힘들어요, 체중 감소이 있어요, 체중 감소으로 병원에 가야 할 것 같아요, 체중 감소이 생겼어요, 체중 감소이 심해졌어요, 체중 감소이 반복돼요, 체중 감소 때문에 걱정이에요"
손떨림,"손떨림 때문에 걱정이에요, 손떨림이 있어요, 손떨림이 반복돼요, 손떨림 증상이 계속돼요, 손떨림이 심해졌어요, 손떨림 때문에 일상생활이 힘들어요, 손떨림으로 병원에 가야 할 것 같아요, 손떨림이 생겼어요"
경부 종물,"경부 종물이 생겼어요, 경부 종물으로 병원에 가야 할 것 같아요, 경부 종물이 반복돼요, 경부 종물 증상이 계속돼요, 경부 종물 때문에 걱정이에요, 경부 종물이 있어요, 경부 종물 때문에 일상생활이 힘들어요, 경부 종물이 심해졌어요"
쉰 목소리,"쉰 목소리 때문에 걱정이에요, 쉰 목소리이 있어요, 쉰 목소리 때문에 일상생활이 힘들어요, 쉰 목소리이 심해졌어요, 쉰 목소리이 반복돼요, 쉰 목소리이 생겼어요, 쉰 목소리 증상이 계속돼요, 쉰 목소리으로 병원에 가야 할 것 같아요"
피로감,"피로감이 반복돼요, 피로감 증상이 계속돼요, 피로감으로 병원에 가야 할 것 같아요, 피로감이 심해졌어요, 피로감이 있어요, 피로감 때문에 일상생활이 힘들어요, 피로감이 생겼어요, 피로감 때문에 걱정이에요"
창백함,"창백함 때문에 걱정이에요, 창백함이 있어요, 창백함 증상이 계속돼요, 창백함 때문에 일상생활이 힘들어요, 창백함이 반복돼요, 창백함이 심해졌어요, 창백함이 생겼어요, 창백함으로 병원에 가야 할 것 같아요"
어지럼증,"어지럼증 증상이 계속돼요, 어지럼증이 반복돼요, 어지럼증 때문에 걱정이에요, 어지럼증으로 병원에 가야 할 것 같아요, 어지럼증이 있어요, 어지럼증 때문에 일상생활이 힘들어요, 어지럼증이 생겼어요, 어지럼증이 심해졌어요"
피로,"피로이 있어요, 피로 증상이 계속돼요, 피로이 심해졌어요, 피로이 생겼어요, 피로 때문에 걱정이에요, 피로으로 병원에 가야 할 것 같아요, 피로 때문에 일상생활이 힘들어요, 피로이 반복돼요"
잦은 감염,"잦은 감염이 생겼어요, 잦은 감염 때문에 걱정이에요, 잦은 감염이 반복돼요, 잦은 감염으로 병원에 가야 할 것 같아요, 잦은 감염 때문에 일상생활이 힘들어요, 잦은 감염이 심해졌어요, 잦은 감염이 있어요, 잦은 감염 증상이 계속돼요"
출혈 경향,"출혈 경향으로 병원에 가야 할 것 같아요, 출혈 경향 증상이 계속돼요, 출혈 경향 때문에 걱정이에요, 출혈 경향이 생겼어요, 출혈 경향이 있어요, 출혈 경향이 심해졌어요, 출혈 경향이 반복돼요, 출혈 경향 때문에 일상생활이 힘들어요"
림프절 종창,"림프절 종창이 있어요, 림프절 종창이 생겼어요, 림프절 종창 증상이 계속돼요, 림프절 종창이 반복돼요, 림프절 종창으로 병원에 가야 할 것 같아요, 림프절 종창이 심해졌어요, 림프절 종창 때문에 걱정이에요, 림프절 종창 때문에 일상생활이 힘들어요"
발열,"발열이 있어요, 발열이 심해졌어요, 체온, 발열 때문에 일상생활이 힘들어요, 열, 발열이 생겼어요, 발열으로 병원에 가야 할 것 같아요, 발열 때문에 걱정이에요, 발열이 반복돼요, 발열, 발열 증상이 계속돼요"
체중감소,"체중감소 증상이 계속돼요, 체중감소이 반복돼요, 체중감소 때문에 걱정이에요, 체중감소이 생겼어요, 체중감소으로 병원에 가야 할 것 같아요, 체중감소이 있어요, 체중감소이 심해졌어요, 체중감소 때문에 일상생활이 힘들어요"
속쓰림,"속쓰림으로 병원에 가야 할 것 같아요, 속쓰림 때문에 걱정이에요, 속쓰림 때문에 일상생활이 힘들어요, 속쓰림이 생겼어요, 속쓰림이 반복돼요, 속쓰림이 있어요, 속쓰림이 심해졌어요, 속쓰림 증상이 계속돼요"
목 이물감,"목 이물감이 생겼어요, 목 이물감이 있어요, 목 이물감 때문에 일상생활이 힘들어요, 목 이물감 증상이 계속돼요, 목 이물감이 심해졌어요, 목 이물감으로 병원에 가야 할 것 같아요, 목 이물감 때문에 걱정이에요, 목 이물감이 반복돼요"
트림,"트림이 반복돼요, 트림으로 병원에 가야 할 것 같아요, 트림 때문에 걱정이에요, 트림 때문에 일상생활이 힘들어요, 트림 증상이 계속돼요, 트림이 심해졌어요, 트림이 생겼어요, 트림이 있어요"
삼킴 곤란,"삼킴 곤란 때문에 걱정이에요, 삼킴 곤란이 생겼어요, 삼킴 곤란으로 병원에 가야 할 것 같아요, 삼킴 곤란 때문에 일상생활이 힘들어요, 삼킴 곤란이 반복돼요, 삼킴 곤란 증상이 계속돼요, 삼킴 곤란이 심해졌어요, 삼킴 곤란이 있어요"
체중감소,"체중감소 증상이 계속돼요, 체중감소이 반복돼요, 체중감소 때문에 걱정이에요, 체중감소이 생겼어요, 체중감소으로 병원에 가야 할 것 같아요, 체중감소이 있어요, 체중감소이 심해졌어요, 체중감소 때문에 일상생활이 힘들어요"
무증상,"무증상으로 병원에 가야 할 것 같아요, 무증상이 생겼어요, 무증상 때문에 일상생활이 힘들어요, 무증상이 있어요, 무증상이 반복돼요, 무증상이 심해졌어요, 무증상 증상이 계속돼요, 무증상 때문에 걱정이에요"
간헐적 혈변,"간헐적 혈변 증상이 계속돼요, 간헐적 혈변이 있어요, 간헐적 혈변 때문에 걱정이에요, 간헐적 혈변이 심해졌어요, 간헐적 혈변으로 병원에 가야 할 것 같아요, 간헐적 혈변이 생겼어요, 간헐적 혈변 때문에 일상생활이 힘들어요, 간헐적 혈변이 반복돼요"
갑작스런 호흡곤란,"갑작스런 호흡곤란으로 병원에 가야 할 것 같아요, 갑작스런 호흡곤란이 반복돼요, 갑작스런 호흡곤란이 심해졌어요, 갑작스런 호흡곤란이 생겼어요, 갑작스런 호흡곤란이 있어요, 갑작스런 호흡곤란 증상이 계속돼요, 갑작스런 호흡곤란 때문에 걱정이에요, 갑작스런 호흡곤란 때문에 일상생활이 힘들어요"
흉통,"흉통으로 병원에 가야 할 것 같아요, 흉통 증상이 계속돼요, 흉통이 있어요, 흉통 때문에 일상생활이 힘들어요, 흉통 때문에 걱정이에요, 흉통이 심해졌어요, 흉통이 반복돼요, 흉통이 생겼어요"
기침,"기침이 반복돼요, 기침이 생겼어요, 기침 증상이 계속돼요, 기침이 심해졌어요, 기침으로 병원에 가야 할 것 같아요, 기침 때문에 걱정이에요, 기침이 있어요, 기침소리, 기침 때문에 일상생활이 힘들어요, 기침"
체중감소,"체중감소 증상이 계속돼요, 체중감소이 반복돼요, 체중감소 때문에 걱정이에요, 체중감소이 생겼어요, 체중감소으로 병원에 가야 할 것 같아요, 체중감소이 있어요, 체중감소이 심해졌어요, 체중감소 때문에 일상생활이 힘들어요"
발열,"발열이 있어요, 발열이 심해졌어요, 체온, 발열 때문에 일상생활이 힘들어요, 열, 발열이 생겼어요, 발열으로 병원에 가야 할 것 같아요, 발열 때문에 걱정이에요, 발열이 반복돼요, 발열, 발열 증상이 계속돼요"
기침,"기침이 반복돼요, 기침이 생겼어요, 기침 증상이 계속돼요, 기침이 심해졌어요, 기침으로 병원에 가야 할 것 같아요, 기침 때문에 걱정이에요, 기침이 있어요, 기침소리, 기침 때문에 일상생활이 힘들어요, 기침"
가래,"가래이 반복돼요, 가래이 있어요, 가래 때문에 걱정이에요, 가래 때문에 일상생활이 힘들어요, 가래이 심해졌어요, 가래으로 병원에 가야 할 것 같아요, 가래 증상이 계속돼요, 가래이 생겼어요"
객혈,"객혈이 생겼어요, 객혈이 심해졌어요, 객혈 때문에 일상생활이 힘들어요, 객혈으로 병원에 가야 할 것 같아요, 객혈이 반복돼요, 객혈 때문에 걱정이에요, 객혈 증상이 계속돼요, 객혈이 있어요"
어지럼증,"어지럼증 증상이 계속돼요, 어지럼증이 반복돼요, 어지럼증 때문에 걱정이에요, 어지럼증으로 병원에 가야 할 것 같아요, 어지럼증이 있어요, 어지럼증 때문에 일상생활이 힘들어요, 어지럼증이 생겼어요, 어지럼증이 심해졌어요"
실신,"실신이 생겼어요, 실신이 심해졌어요, 실신으로 병원에 가야 할 것 같아요, 실신 때문에 일상생활이 힘들어요, 실신이 반복돼요, 실신 때문에 걱정이에요, 실신이 있어요, 실신 증상이 계속돼요"
심잡음,"심잡음이 생겼어요, 심잡음으로 병원에 가야 할 것 같아요, 심잡음 증상이 계속돼요, 심잡음이 있어요, 심잡음이 반복돼요, 심잡음 때문에 일상생활이 힘들어요, 심잡음이 심해졌어요, 심잡음 때문에 걱정이에요"
호흡곤란,"호흡곤란으로 병원에 가야 할 것 같아요, 호흡곤란 때문에 일상생활이 힘들어요, 호흡곤란이 있어요, 호흡곤란 때문에 걱정이에요, 호흡곤란이 심해졌어요, 호흡곤란이 반복돼요, 호흡곤란이 생겼어요, 호흡곤란 증상이 계속돼요"
피로감,"피로감이 반복돼요, 피로감 증상이 계속돼요, 피로감으로 병원에 가야 할 것 같아요, 피로감이 심해졌어요, 피로감이 있어요, 피로감 때문에 일상생활이 힘들어요, 피로감이 생겼어요, 피로감 때문에 걱정이에요"
두근거림,"두근거림이 생겼어요, 두근거림이 있어요, 두근거림으로 병원에 가야 할 것 같아요, 두근거림 때문에 일상생활이 힘들어요, 두근거림 증상이 계속돼요, 두근거림 때문에 걱정이에요, 두근거림이 반복돼요, 두근거림이 심해졌어요"
어지럼증,"어지럼증 증상이 계속돼요, 어지럼증이 반복돼요, 어지럼증 때문에 걱정이에요, 어지럼증으로 병원에 가야 할 것 같아요, 어지럼증이 있어요, 어지럼증 때문에 일상생활이 힘들어요, 어지럼증이 생겼어요, 어지럼증이 심해졌어요"
무증상,"무증상으로 병원에 가야 할 것 같아요, 무증상이 생겼어요, 무증상 때문에 일상생활이 힘들어요, 무증상이 있어요, 무증상이 반복돼요, 무증상이 심해졌어요, 무증상 증상이 계속돼요, 무증상 때문에 걱정이에요"
혈중 지질 이상,"혈중 지질 이상으로 병원에 가야 할 것 같아요, 혈중 지질 이상이 반복돼요, 혈중 지질 이상 증상이 계속돼요, 혈중 지질 이상이 있어요, 혈중 지질 이상이 생겼어요, 혈중 지질 이상이 심해졌어요, 혈중 지질 이상 때문에 걱정이에요, 혈중 지질 이상 때문에 일상생활이 힘들어요"
호흡곤란,"호흡곤란으로 병원에 가야 할 것 같아요, 호흡곤란 때문에 일상생활이 힘들어요, 호흡곤란이 있어요, 호흡곤란 때문에 걱정이에요, 호흡곤란이 심해졌어요, 호흡곤란이 반복돼요, 호흡곤란이 생겼어요, 호흡곤란 증상이 계속돼요"
손발 저림,"손발 저림이 있어요, 손발 저림이 생겼어요, 손발 저림으로 병원에 가야 할 것 같아요, 손발 저림 증상이 계속돼요, 손발 저림이 반복돼요, 손발 저림이 심해졌어요, 손발 저림 때문에 일상생활이 힘들어요, 손발 저림 때문에 걱정이에요"
호흡곤란,"호흡곤란으로 병원에 가야 할 것 같아요, 호흡곤란 때문에 일상생활이 힘들어요, 호흡곤란이 있어요, 호흡곤란 때문에 걱정이에요, 호흡곤란이 심해졌어요, 호흡곤란이 반복돼요, 호흡곤란이 생겼어요, 호흡곤란 증상이 계속돼요"
마른 기침,"마른 기침이 심해졌어요, 마른 기침이 있어요, 마른 기침 증상이 계속돼요, 마른 기침이 생겼어요, 마른 기침 때문에 걱정이에요, 마른 기침으로 병원에 가야 할 것 같아요, 마른 기침 때문에 일상생활이 힘들어요, 마른 기침이 반복돼요"
잠들기 어려움,"잠들기 어려움 때문에 일상생활이 힘들어요, 잠들기 어려움이 있어요, 잠들기 어려움 때문에 걱정이에요, 잠들기 어려움이 심해졌어요, 잠들기 어려움이 반복돼요, 잠들기 어려움 증상이 계속돼요, 잠들기 어려움이 생겼어요, 잠들기 어려움으로 병원에 가야 할 것 같아요"
자주 깨는 잠,"자주 깨는 잠이 생겼어요, 자주 깨는 잠이 있어요, 자주 깨는 잠 때문에 걱정이에요, 자주 깨는 잠 증상이 계속돼요, 자주 깨는 잠이 반복돼요, 자주 깨는 잠이 심해졌어요, 자주 깨는 잠 때문에 일상생활이 힘들어요, 자주 깨는 잠으로 병원에 가야 할 것 같아요"
복부 통증,"복부 통증이 있어요, 복부 통증이 생겼어요, 복부 통증 때문에 일상생활이 힘들어요, 복부 통증이 심해졌어요, 복부 통증 때문에 걱정이에요, 복부 통증으로 병원에 가야 할 것 같아요, 복부 통증이 반복돼요, 복부 통증 증상이 계속돼요"
발열,"발열이 있어요, 발열이 심해졌어요, 체온, 발열 때문에 일상생활이 힘들어요, 열, 발열이 생겼어요, 발열으로 병원에 가야 할 것 같아요, 발열 때문에 걱정이에요, 발열이 반복돼요, 발열, 발열 증상이 계속돼요"
고열,"고열이 생겼어요, 고열으로 병원에 가야 할 것 같아요, 고열 증상이 계속돼요, 고열이 있어요, 고열 때문에 일상생활이 힘들어요, 고열이 반복돼요, 고열이 심해졌어요, 고열 때문에 걱정이에요"
의식 저하,"의식 저하이 생겼어요, 의식 저하 때문에 일상생활이 힘들어요, 의식 저하이 심해졌어요, 의식 저하이 있어요, 의식 저하 때문에 걱정이에요, 의식 저하 증상이 계속돼요, 의식 저하이 반복돼요, 의식 저하으로 병원에 가야 할 것 같아요"
저혈압,"저혈압 증상이 계속돼요, 저혈압 때문에 일상생활이 힘들어요, 저혈압이 반복돼요, 저혈압이 심해졌어요, 저혈압이 생겼어요, 저혈압이 있어요, 저혈압으로 병원에 가야 할 것 같아요, 저혈압 때문에 걱정이에요"
복부 박동성 덩이,"복부 박동성 덩이이 심해졌어요, 복부 박동성 덩이 증상이 계속돼요, 복부 박동성 덩이이 있어요, 복부 박동성 덩이이 생겼어요, 복부 박동성 덩이이 반복돼요, 복부 박동성 덩이으로 병원에 가야 할 것 같아요, 복부 박동성 덩이 때문에 걱정이에요, 복부 박동성 덩이 때문에 일상생활이 힘들어요"
흉통,"흉통으로 병원에 가야 할 것 같아요, 흉통 증상이 계속돼요, 흉통이 있어요, 흉통 때문에 일상생활이 힘들어요, 흉통 때문에 걱정이에요, 흉통이 심해졌어요, 흉통이 반복돼요, 흉통이 생겼어요"
무의식,"무의식이 반복돼요, 무의식이 심해졌어요, 무의식 때문에 일상생활이 힘들어요, 무의식 증상이 계속돼요, 무의식이 생겼어요, 무의식이 있어요, 무의식 때문에 걱정이에요, 무의식으로 병원에 가야 할 것 같아요"
심정지,"심정지이 반복돼요, 심정지 때문에 일상생활이 힘들어요, 심정지으로 병원에 가야 할 것 같아요, 심정지 때문에 걱정이에요, 심정지 증상이 계속돼요, 심정지이 있어요, 심정지이 심해졌어요, 심정지이 생겼어요"
혼동,"혼동 때문에 일상생활이 힘들어요, 혼동 때문에 걱정이에요, 혼동으로 병원에 가야 할 것 같아요, 혼동 증상이 계속돼요, 혼동이 있어요, 혼동이 생겼어요, 혼동이 반복돼요, 혼동이 심해졌어요"
의식 저하,"의식 저하이 생겼어요, 의식 저하 때문에 일상생활이 힘들어요, 의식 저하이 심해졌어요, 의식 저하이 있어요, 의식 저하 때문에 걱정이에요, 의식 저하 증상이 계속돼요, 의식 저하이 반복돼요, 의식 저하으로 병원에 가야 할 것 같아요"
측복부 통증,"측복부 통증 때문에 걱정이에요, 측복부 통증이 심해졌어요, 측복부 통증이 있어요, 측복부 통증이 반복돼요, 측복부 통증이 생겼어요, 측복부 통증으로 병원에 가야 할 것 같아요, 측복부 통증 때문에 일상생활이 힘들어요, 측복부 통증 증상이 계속돼요"
발열,"발열이 있어요, 발열이 심해졌어요, 체온, 발열 때문에 일상생활이 힘들어요, 열, 발열이 생겼어요, 발열으로 병원에 가야 할 것 같아요, 발열 때문에 걱정이에요, 발열이 반복돼요, 발열, 발열 증상이 계속돼요"
배뇨통,"배뇨통이 반복돼요, 배뇨통이 심해졌어요, 배뇨통 때문에 일상생활이 힘들어요, 배뇨통이 생겼어요, 배뇨통 증상이 계속돼요, 배뇨통으로 병원에 가야 할 것 같아요, 배뇨통 때문에 걱정이에요, 배뇨통이 있어요"
옆구리 통증,"옆구리 통증이 있어요, 옆구리 통증으로 병원에 가야 할 것 같아요, 옆구리 통증 증상이 계속돼요, 옆구리 통증이 심해졌어요, 옆구리 통증 때문에 일상생활이 힘들어요, 옆구리 통증이 반복돼요, 옆구리 통증이 생겼어요, 옆구리 통증 때문에 걱정이에요"
혈뇨,"혈뇨이 심해졌어요, 혈뇨이 생겼어요, 혈뇨 증상이 계속돼요, 혈뇨이 있어요, 혈뇨 때문에 걱정이에요, 혈뇨으로 병원에 가야 할 것 같아요, 혈뇨이 반복돼요, 혈뇨 때문에 일상생활이 힘들어요"
복부 팽만,"복부 팽만이 생겼어요, 복부 팽만이 있어요, 복부 팽만 때문에 걱정이에요, 복부 팽만 증상이 계속돼요, 복부 팽만으로 병원에 가야 할 것 같아요, 복부 팽만이 반복돼요, 복부 팽만 때문에 일상생활이 힘들어요, 복부 팽만이 심해졌어요"
구토,"구토 때문에 일상생활이 힘들어요, 구토, 구역질, 구토 때문에 걱정이에요, 토, 구토 증상이 계속돼요, 구토이 심해졌어요, 구토이 반복돼요, 구토이 생겼어요, 구토으로 병원에 가야 할 것 같아요, 구토이 있어요"
복통,"복통이 심해졌어요, 복통이 반복돼요, 복통이 생겼어요, 복통이 있어요, 배, 복통 때문에 일상생활이 힘들어요, 복통 증상이 계속돼요, 복통, 복통 때문에 걱정이에요, 복통으로 병원에 가야 할 것 같아요"
혈변,"혈변 때문에 일상생활이 힘들어요, 혈변으로 병원에 가야 할 것 같아요, 혈변 증상이 계속돼요, 혈변이 생겼어요, 혈변이 반복돼요, 혈변이 심해졌어요, 혈변이 있어요, 혈변 때문에 걱정이에요"
흑변,"흑변으로 병원에 가야 할 것 같아요, 흑변 때문에 일상생활이 힘들어요, 흑변 때문에 걱정이에요, 흑변 증상이 계속돼요, 흑변이 있어요, 흑변이 심해졌어요, 흑변이 반복돼요, 흑변이 생겼어요"
빈혈,"빈혈 때문에 일상생활이 힘들어요, 빈혈 때문에 걱정이에요, 빈혈이 반복돼요, 빈혈이 생겼어요, 빈혈이 있어요, 빈혈이 심해졌어요, 빈혈으로 병원에 가야 할 것 같아요, 빈혈 증상이 계속돼요"
두통,"두통 때문에 걱정이에요, 두통 증상이 계속돼요, 두통이 생겼어요, 두통이 심해졌어요, 두통이 반복돼요, 두통 때문에 일상생활이 힘들어요, 두통이 있어요, 두통으로 병원에 가야 할 것 같아요, 머리, 뇌, 두통"
